run,generation,best,mean,median
avg_rank,1,0.5358,0.5075500000000001,0.5088
avg_rank,2,0.5358,0.5135,0.51515
avg_rank,3,0.54,0.5220833333333333,0.5244
avg_rank,4,0.5543,0.5244000000000001,0.5341
avg_rank,5,0.5543,0.5276083333333333,0.5358
avg_rank,6,0.5543,0.5283,0.53305
avg_rank,7,0.5543,0.5367916666666667,0.5409999999999999
avg_rank,8,0.5543,0.5166833333333333,0.5213
map,1,0.4977,0.45835000000000004,0.465
map,2,0.4977,0.4749666666666667,0.4718
map,3,0.4977,0.4807666666666666,0.48195
map,4,0.5117,0.48545,0.4925
map,5,0.5117,0.48615,0.4961
map,6,0.5117,0.48915,0.4942
map,7,0.5117,0.4924833333333334,0.5045
map,8,0.5117,0.4785916666666667,0.4959
mrr,1,0.5384,0.5009916666666666,0.4931
mrr,2,0.5384,0.5018916666666667,0.50435
mrr,3,0.5423,0.5107916666666666,0.51315
mrr,4,0.5477,0.5217666666666666,0.53575
mrr,5,0.5477,0.5238666666666666,0.5384
mrr,6,0.5502,0.5227499999999999,0.5262
mrr,7,0.5502,0.5336083333333334,0.5374
mrr,8,0.5502,0.5067416666666666,0.51815
ndcg,1,0.597,0.5563083333333333,0.55115
ndcg,2,0.597,0.555575,0.55535
ndcg,3,0.597,0.5702916666666666,0.5736
ndcg,4,0.597,0.57565,0.5866
ndcg,5,0.597,0.5755333333333333,0.5883499999999999
ndcg,6,0.597,0.574125,0.58095
ndcg,7,0.597,0.5856416666666666,0.58565
ndcg,8,0.597,0.56555,0.58585
