run,generation,best,mean,median
avg_rank,1,0.496,0.46092500000000003,0.46805
avg_rank,2,0.4898,0.4671416666666666,0.46235000000000004
avg_rank,3,0.4994,0.4740666666666667,0.4756
avg_rank,4,0.5041,0.4769083333333333,0.4765
avg_rank,5,0.5041,0.478925,0.47840000000000005
avg_rank,6,0.5041,0.484375,0.4914
avg_rank,7,0.5059,0.48584166666666667,0.5002
avg_rank,8,0.5041,0.47327500000000006,0.47755000000000003
map,1,0.4977,0.45835000000000004,0.465
map,2,0.4977,0.4749666666666667,0.4718
map,3,0.4977,0.4807666666666666,0.48195
map,4,0.5117,0.48545,0.4925
map,5,0.5117,0.48615,0.4961
map,6,0.5117,0.48915,0.4942
map,7,0.5117,0.4924833333333334,0.5045
map,8,0.5117,0.4785916666666667,0.4959
mrr,1,0.4976,0.4588916666666667,0.4638
mrr,2,0.4976,0.46855,0.47045000000000003
mrr,3,0.4886,0.47215,0.4729
mrr,4,0.4978,0.4761166666666667,0.4731
mrr,5,0.4978,0.4769583333333334,0.4763
mrr,6,0.5084,0.4864916666666667,0.49375
mrr,7,0.5054,0.48630833333333334,0.49565000000000003
mrr,8,0.501,0.471675,0.4761
ndcg,1,0.5023,0.4600416666666667,0.46565
ndcg,2,0.5011,0.46970833333333334,0.47309999999999997
ndcg,3,0.5011,0.47398333333333337,0.4779
ndcg,4,0.5023,0.4758833333333334,0.4787
ndcg,5,0.4876,0.4698333333333333,0.4787
ndcg,6,0.4995,0.4761166666666667,0.47885
ndcg,7,0.5075,0.4777166666666666,0.4787
ndcg,8,0.4787,0.46115833333333334,0.4704
