run,generation,best,mean,median
avg_rank,1,0.5358,0.5021166666666667,0.4988
avg_rank,2,0.5358,0.5099333333333333,0.52135
avg_rank,3,0.5415,0.5175166666666667,0.5234000000000001
avg_rank,4,0.5545,0.5211166666666667,0.53
avg_rank,5,0.5545,0.5248166666666666,0.5358
avg_rank,6,0.5545,0.5226166666666666,0.5324
avg_rank,7,0.5545,0.5356500000000001,0.5355000000000001
avg_rank,8,0.5545,0.509475,0.5213
map,1,0.5365,0.49700000000000005,0.4962
map,2,0.5288,0.4982583333333333,0.4905
map,3,0.5445,0.5043666666666667,0.5062
map,4,0.5336,0.514325,0.5258
map,5,0.5274,0.5132249999999999,0.5226
map,6,0.5274,0.507825,0.5119
map,7,0.5274,0.52035,0.52475
map,8,0.5274,0.49851666666666666,0.51505
mrr,1,0.5384,0.5009916666666666,0.4931
mrr,2,0.5384,0.5018916666666667,0.50435
mrr,3,0.5423,0.5107916666666666,0.51315
mrr,4,0.5477,0.5217666666666666,0.53575
mrr,5,0.5477,0.5238666666666666,0.5384
mrr,6,0.5502,0.5227499999999999,0.5262
mrr,7,0.5502,0.5336083333333334,0.5374
mrr,8,0.5502,0.5067416666666666,0.51815
ndcg,1,0.5434,0.49961666666666665,0.4952
ndcg,2,0.5434,0.5022083333333333,0.5096
ndcg,3,0.5441,0.5159916666666666,0.5143
ndcg,4,0.5499,0.5227166666666666,0.52885
ndcg,5,0.5434,0.520375,0.5284
ndcg,6,0.5434,0.517075,0.5265
ndcg,7,0.5434,0.5322416666666666,0.5338499999999999
ndcg,8,0.5434,0.5053833333333334,0.5278
