run,generation,best,mean,median
avg_rank,1,0.5942,0.5581416666666666,0.5531
avg_rank,2,0.5943,0.56195,0.56725
avg_rank,3,0.5942,0.5730833333333333,0.57075
avg_rank,4,0.6028,0.5736666666666667,0.5871
avg_rank,5,0.6028,0.5775583333333333,0.59105
avg_rank,6,0.6028,0.57645,0.58385
avg_rank,7,0.6028,0.587375,0.5878
avg_rank,8,0.6028,0.5657666666666666,0.56755
map,1,0.5913,0.5554,0.5554
map,2,0.5887,0.5487,0.55145
map,3,0.5935,0.5563666666666667,0.5590999999999999
map,4,0.587,0.5638,0.569
map,5,0.5798,0.5631083333333333,0.569
map,6,0.5836,0.56045,0.5641
map,7,0.5798,0.569675,0.57285
map,8,0.573,0.5532,0.56485
mrr,1,0.5892,0.5555416666666667,0.55025
mrr,2,0.5896,0.554075,0.5566
mrr,3,0.5929,0.5658333333333333,0.5699
mrr,4,0.5957,0.573125,0.58785
mrr,5,0.5957,0.5756583333333333,0.5892
mrr,6,0.5957,0.5757249999999999,0.57955
mrr,7,0.5957,0.5840500000000001,0.5854
mrr,8,0.5936,0.5613416666666667,0.56705
ndcg,1,0.597,0.5563083333333333,0.55115
ndcg,2,0.597,0.555575,0.55535
ndcg,3,0.597,0.5702916666666666,0.5736
ndcg,4,0.597,0.57565,0.5866
ndcg,5,0.597,0.5755333333333333,0.5883499999999999
ndcg,6,0.597,0.574125,0.58095
ndcg,7,0.597,0.5856416666666666,0.58565
ndcg,8,0.597,0.56555,0.58585
