rank,generation,individual_id,threshold,max_edges_per_node,top_k,fitness,ndcg,map,mrr,answer_cosine_similarity,avg_retrieval_time_ms,total_nodes,total_edges,total_communities,chromosome,source_file,run,sheet
1,4,g3_i0,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
2,5,g4_i0,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
3,5,g4_i1,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
4,5,g4_i2,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
5,6,g5_i0,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
6,6,g5_i1,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
7,7,g6_i0,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
8,7,g6_i1,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
9,7,g6_i2,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
10,7,g6_i3,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
11,7,g6_i4,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
12,8,g7_i0,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
13,8,g7_i1,0.8,7,11,0.5543,0.6028,0.5041,0.5545,0,135.68,1616,9784,16,"[5, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
14,6,g5_i2,0.8,7,10,0.5458,0.591,0.5012,0.5438,0,135.07,1616,9784,16,"[5, 4, 5]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
15,6,g5_i3,0.8,7,10,0.5458,0.591,0.5012,0.5438,0,135.07,1616,9784,16,"[5, 4, 5]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
16,7,g6_i5,0.9,7,11,0.5412,0.5906,0.4963,0.5351,0,123.31,1616,6660,21,"[6, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
17,8,g7_i2,0.9,7,11,0.5412,0.5906,0.4963,0.5351,0,123.31,1616,6660,21,"[6, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
18,8,g7_i3,0.9,7,11,0.5412,0.5906,0.4963,0.5351,0,123.31,1616,6660,21,"[6, 4, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
19,7,g6_i6,0.9,7,8,0.5408,0.585,0.5059,0.5302,0,124.17,1616,6660,21,"[6, 4, 3]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
20,3,g2_i0,0.8,7,12,0.54,0.5882,0.4888,0.5415,0,134.82,1616,9784,16,"[5, 4, 7]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
21,4,g3_i1,0.8,7,12,0.54,0.5882,0.4888,0.5415,0,134.82,1616,9784,16,"[5, 4, 7]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
22,4,g3_i2,0.8,7,12,0.54,0.5882,0.4888,0.5415,0,134.82,1616,9784,16,"[5, 4, 7]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
23,5,g4_i3,0.8,7,12,0.54,0.5882,0.4888,0.5415,0,134.82,1616,9784,16,"[5, 4, 7]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
24,6,g5_i4,0.8,6,11,0.5397,0.5859,0.4956,0.5362,0,134.42,1616,8835,15,"[5, 3, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
25,5,g4_i4,0.8,7,13,0.5391,0.5939,0.4812,0.5405,0,136.06,1616,9784,16,"[5, 4, 8]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
26,3,g2_i1,0.4,7,14,0.5371,0.5916,0.4765,0.5415,0,133.43,1616,10490,14,"[1, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
27,4,g3_i3,0.4,7,14,0.5371,0.5916,0.4765,0.5415,0,133.43,1616,10490,14,"[1, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
28,4,g3_i4,0.4,7,14,0.5371,0.5916,0.4765,0.5415,0,133.43,1616,10490,14,"[1, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
29,1,g0_i0,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
30,2,g1_i0,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
31,2,g1_i1,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
32,3,g2_i2,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
33,3,g2_i3,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
34,4,g3_i5,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
35,5,g4_i5,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
36,5,g4_i6,0.5,7,14,0.5358,0.5942,0.4756,0.5358,0,130.4,1616,10490,14,"[2, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
37,2,g1_i2,0.3,7,14,0.5356,0.5943,0.476,0.5349,0,131.92,1616,10490,14,"[0, 4, 9]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
38,6,g5_i5,0.7,8,18,0.5347,0.5917,0.4655,0.5451,0,140.55,1616,11482,14,"[4, 5, 13]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
39,8,g7_i4,0.9,8,11,0.5344,0.5859,0.4874,0.5285,0,123.06,1616,7033,20,"[6, 5, 6]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
40,4,g3_i6,0.8,6,12,0.5324,0.586,0.4853,0.5242,0,134.46,1616,8835,15,"[5, 3, 7]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
41,6,g5_i6,0.5,7,12,0.5314,0.5815,0.4826,0.5286,0,133.06,1616,10490,14,"[2, 4, 7]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
42,7,g6_i7,0.5,8,13,0.5302,0.5816,0.4717,0.5359,0,134.98,1616,11641,14,"[2, 5, 8]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
43,1,g0_i1,0.4,7,10,0.5295,0.576,0.4866,0.5245,0,130.64,1616,10490,14,"[1, 4, 5]",avg_rank.xlsx,avg_rank,76bb9ecd-29fb-4788-91d2-5bfba81
